order_id,source_file,Status Pesanan,status_kelompok,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,waktu_pesanan,periode_file,periode_analisis,sumber_periode,alasan_pembatalan_analisis,total_pembayaran_rp,berat_pesanan_gr,jumlah_baris_item,jumlah_item_tercatat,memiliki_baris_identik,retur_tidak_diketahui,jumlah_retur,waktu_pesanan_tidak_tersedia,jumlah_kategori,kategori_dalam_pesanan,diskon_nilai_asli_bervariasi,diskon_nilai_asli,ongkir_pembeli_nilai_asli_bervariasi,ongkir_pembeli_nilai_asli,subsidi_ongkir_nilai_asli_bervariasi,subsidi_ongkir_nilai_asli,estimasi_ongkir_nilai_asli_bervariasi,estimasi_ongkir_nilai_asli,skala_ongkir_diskon_terverifikasi,pembayaran_nol_nonbatal,outlier_total_pembayaran_rp,outlier_jumlah_item_tercatat,outlier_berat_pesanan_gr
ORD_0000001,AprilSales2024_public.xlsx,Selesai,Selesai,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA SERANG,BANTEN,2024-04-01 00:15:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),38300,1000,2,2,True,False,0,False,1,Celengan,False,0.0,False,0.0,False,10.0,False,10.0,False,False,False,False,False
ORD_0000002,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SEMARANG,JAWA TENGAH,2024-04-01 01:47:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),18576,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,14.5,False,14.5,False,False,False,False,False
ORD_0000003,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KAB. BOGOR,JAWA BARAT,2024-04-01 04:25:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),7069,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0000004,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAMBI,JAMBI,2024-04-01 04:41:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),32200,400,1,2,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,20.0,False,20.0,False,False,False,False,False
ORD_0000005,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,2024-04-01 06:12:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,0,1200,3,3,False,False,0,False,3,Keranjang | Other | Tempat Nasi,False,0.0,False,0.0,False,0.0,False,8.0,False,False,False,False,False
ORD_0000006,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,SPayLater,KAB. BANDUNG,JAWA BARAT,2024-04-01 07:09:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),40996,1000,1,2,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,10.0,False,10.0,False,False,False,False,False
ORD_0000007,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,SPayLater,KOTA TANGERANG,BANTEN,2024-04-01 07:23:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,0,1700,1,1,False,False,0,False,1,Nampan / Tray,False,0.0,False,0.0,False,0.0,False,16.0,False,False,False,False,False
ORD_0000008,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Online Payment,KAB. BOGOR,JAWA BARAT,2024-04-01 07:33:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),18280,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0000009,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-J&T Economy,Online Payment,KAB. GARUT,JAWA BARAT,2024-04-01 07:56:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,0,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,0.0,False,16.5,False,False,False,False,False
ORD_0000010,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Online Payment,KAB. TEGAL,JAWA TENGAH,2024-04-01 08:27:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),92800,2150,6,6,True,False,0,False,3,Aksesoris Mandi | Celengan | Keranjang,False,0.0,False,13.0,False,20.0,False,33.0,False,False,True,True,True
ORD_0000011,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SIAK,RIAU,2024-04-01 09:02:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,0,1000,1,2,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,0.0,False,53.0,False,False,False,False,False
ORD_0000012,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,2024-04-01 10:24:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,0,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,0.0,False,12.0,False,False,False,False,False
ORD_0000013,AprilSales2024_public.xlsx,Selesai,Selesai,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. PANDEGLANG,BANTEN,2024-04-01 10:26:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),32200,1200,1,1,False,False,0,False,1,Toples / Sealware,False,0.0,False,0.0,False,16.0,False,16.0,False,False,False,False,False
ORD_0000014,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BEKASI,JAWA BARAT,2024-04-01 10:54:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),30000,400,1,2,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0000015,AprilSales2024_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARANGANYAR,JAWA TENGAH,2024-04-01 12:36:00,2024-04,2024-04-01,2024-04,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,0,1000,1,5,False,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,0.0,False,22.0,False,False,False,True,False
ORD_0000016,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BEKASI,JAWA BARAT,2024-04-01 12:41:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),24000,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0000017,AprilSales2024_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA DEPOK,JAWA BARAT,2024-04-01 12:44:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),20800,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,8.0,False,8.0,False,False,False,False,False
ORD_0000018,AprilSales2024_public.xlsx,Selesai,Selesai,Instant (Versi Lama)-SPX Instant (Versi Lama),Saldo ShopeePay,KOTA TANGERANG,BANTEN,2024-04-01 12:51:00,2024-04,2024-04-01,2024-04,Tidak berlaku (nonbatal),124000,7000,1,1,False,False,0,False,1,Other,False,0.0,False,23.0,False,20.0,False,43.0,False,False,True,False,True
